ResponseId,Risk,Outcome,Causal,RandOrder,age,gender,race/eth,DamPre_1,DamPost_1,DRiskCheck,DOutcomeCheck,DCauseExploratory,FirePre_1,FirePost_1,FireRiskCheck,FireOutcomeCheck,FireCauseExp,DamGNG,FireGNG,OverallGNG,DamCauseMatch,FireCauseMatch,FireOutcome2
R_322Q8dva1jzAbxp,High,Good,Causal,FL_12,20,Male,Hispanic,54,50,1,1,Yes,65,61,1,1,Not sure,1,1,1,1,0,1
R_PNbpPnmaZO64cNz,High,Bad,Causal,FL_14,37,Male,Hispanic,50,45,1,1,No,51,31,1,1,No,1,1,1,0,0,1
R_1ptmqUweKybgwAU,Low,Good,Causal,FL_8,42,Male,"White, not of Hispanic origin",91,50,1,1,Yes,91,50,1,1,Yes,1,1,1,1,1,1
R_3rS3HczfWZu6rbt,Low,Good,NC,FL_9,19,Female,Hispanic,50,71,0,1,Not sure,18,11,0,0,Not sure,0,0,0,0,0,0
R_1lnjbAvnWYgx5zR,High,Good,NC,FL_13,37,Male,Asian/ Pacific Islander,81,52,1,1,Yes,77,51,1,1,Yes,1,1,1,0,0,1
R_1ImIHC6ck1IbP2m,Low,Bad,Causal,FL_10,53,Female,"White, not of Hispanic origin",100,100,1,1,Yes,100,100,1,1,No,1,1,1,1,0,1
R_O7h3IIMGd98jFbr,Low,Bad,NC,FL_11,44,Female,Hispanic,30,28,1,1,No,18,20,0,1,No,1,0,0,1,1,1
R_zYE9OI5eGHSMqkN,Low,Bad,Causal,FL_10,26,Female,"White, not of Hispanic origin",87,100,1,1,Yes,58,27,0,1,Not sure,1,0,0,1,0,1
R_1hMTwMMXkER06OL,Low,Bad,NC,FL_11,25,Male,Black/ African American,81,48,1,1,No,92,100,0,1,No,1,0,0,1,1,1
R_3fcR4aTNCpN49yZ,High,Bad,NC,FL_15,58,Male,"White, not of Hispanic origin",55,50,1,1,No,95,95,1,1,No,1,1,1,1,1,1
R_3dXj6cB6pKkN3se,Low,Good,Causal,FL_8,28,Male,"American Indian/ Alaska Native,White, not of Hispanic origin",69,73,0,0,Yes,68,75,1,1,Yes,0,1,0,1,1,1
R_bIVDQuaoar1xisV,Low,Good,NC,FL_9,50,Female,"White, not of Hispanic origin",81,87,1,1,Not sure,88,93,1,1,No,1,1,1,0,1,1
