ResponseId,Risk,Intent,Outcome,RandOrder,age,gender,race/eth,DamPre_1,DamPost_1,DRiskCheck,DIntentCheck,DOutcomeCheck,FirePre_1,FirePost_1,FRiskCheck,FIntentCheck,FOutcomeCheck,DamGNG,FireGNG,OverallGNG,DamOutcomeMatch,FireOutcomeMatch
R_1IxVYS8PW8gqqWb,High,Mitigate,Bad,FL_23|FL_17,38,Male,"White, not of Hispanic origin",59,77,1,1,Worst,79,72,1,0,Worst,1,0,0,1,1
R_2R3q5TjHuO5BlnH,High,Mitigate,Bad,FL_17|FL_23,23,Male,Asian/ Pacific Islander,61,35,1,1,Worst,57,50,1,1,Worst,1,1,1,1,1
R_2fGMWbTNiZq8d5G,High,Mitigate,Bad,FL_23|FL_17,25,Male,"Asian/ Pacific Islander,White, not of Hispanic origin",61,19,1,0,Worst,33,50,1,1,Worst,0,1,0,1,1
R_3dWbckCneV1j6GY,High,Mitigate,Bad,FL_23|FL_17,23,Male,"White, not of Hispanic origin",33,62,1,0,Prevented,50,5,1,0,Prevented,0,0,0,0,0
R_2TLQkyjIL0ppVgN,High,Mitigate,Bad,FL_23|FL_17,34,Female,"White, not of Hispanic origin",48,27,1,1,Worst,53,40,1,1,Worst,1,1,1,1,1
R_1LumwJlVIGPM1f8,High,Mitigate,Bad,FL_17|FL_23,45,Female,"White, not of Hispanic origin",58,25,1,1,Worst,89,92,1,1,Worst,1,1,1,1,1
R_OAUB157x4UzhnVv,High,Mitigate,Bad,FL_17|FL_23,39,Female,"Asian/ Pacific Islander,White, not of Hispanic origin",51,8,1,0,Worst,81,30,1,1,Worst,0,1,0,1,1
R_3nPJzjG2Wu6jUoI,High,Mitigate,Bad,FL_23|FL_17,38,Male,Asian/ Pacific Islander,54,50,1,0,Prevented,78,54,1,0,Mitigated,0,0,0,0,0
R_3NOn4AKljFvWBv6,High,Mitigate,Bad,FL_17|FL_23,59,Male,"White, not of Hispanic origin",51,50,1,1,Worst,61,53,1,0,Worst,1,0,0,1,1
R_3GB8u1LNqgakG7H,High,Mitigate,Bad,FL_23|FL_17,30,Female,"White, not of Hispanic origin",48,33,1,1,Worst,49,49,1,1,Mitigated,1,1,1,1,0
R_1N9cjD7w4HhauS5,High,Mitigate,Bad,FL_17|FL_23,42,Female,"White, not of Hispanic origin",68,70,1,0,Prevented,83,79,1,0,Worst,0,0,0,0,1
R_2rwO7nXe6FsQImq,High,Mitigate,Bad,FL_23|FL_17,18,Male,"Asian/ Pacific Islander,White, not of Hispanic origin",61,50,1,0,Worst,100,1,1,1,Worst,0,1,0,1,1
R_25ZrJ3qJ8hYhpfO,High,Mitigate,Bad,FL_23|FL_17,30,Male,Black/ African American,51,19,1,1,Mitigated,100,100,1,0,Worst,1,0,0,0,1
R_2YJofxb4i1Gp5uv,High,Mitigate,Bad,FL_23|FL_17,20,Male,Asian/ Pacific Islander,51,21,1,0,Worst,19,0,1,0,Worst,0,0,0,1,1
R_wXzFJPUFRfpx9bX,High,Mitigate,Bad,FL_23|FL_17,31,Female,Black/ African American,51,51,1,1,Worst,100,100,1,1,Worst,1,1,1,1,1
R_tVsCXgKCDwpp2wx,High,Mitigate,Bad,FL_23|FL_17,20,Nonbinary,"White, not of Hispanic origin",39,19,1,1,Worst,81,81,1,0,Worst,1,0,0,1,1
R_3kH54gsYEijM6L7,High,Mitigate,Bad,FL_23|FL_17,23,Female,"White, not of Hispanic origin,Hispanic",50,28,1,0,Worst,38,30,1,1,Worst,0,1,0,1,1
R_29794NBOeWh7rW6,High,Mitigate,Bad,FL_23|FL_17,19,Female,Asian/ Pacific Islander,68,21,0,1,Worst,91,91,1,0,Worst,0,0,0,1,1
