ResponseId,Risk,RandOrder,age,gender,race/eth,DamPercentage,DamInterventionYN,DamAlternative,DamRiskCheck,FirePercentage,FireInterventionYN,FireAlternative,FireRiskCheck,FocusCheck,GNG
R_3g1Vr69VgCENifh,Low,FL_17|FL_23,44,Female,"White, not of Hispanic origin",13,0,,0,39,0,,0,1,0
R_20MzgvVN84Izjip,Low,FL_17|FL_23,36,Male,"White, not of Hispanic origin",4,0,,1,9,0,,1,1,1
R_Ryw5MaXxr8RnBFn,Low,FL_17|FL_23,27,Male,"White, not of Hispanic origin",4,1,They could do more minor renovations on the dam that would not require displacement since it was found to be in good working order.,1,29,1,"They could do better maintenance of tree branches, etc that would catch on fire due to overhanging the power lines.",1,1,1
R_27q9Wc79SAnHNdw,High,FL_17|FL_23,27,Male,"White, not of Hispanic origin",51,0,,1,53,0,,1,1,1
R_3MGcSsr0xxCPkuL,High,FL_23|FL_17,45,Female,"White, not of Hispanic origin",50,0,,1,85,1,maybe allow people to keep their power but to run it at lower temps or to have the areas wet down that are highest risk,1,1,1
R_1o7N8lEC1IfT8yB,High,FL_23|FL_17,40,Male,Hispanic,20,0,,1,81,1,burn the dead trees,1,1,1
R_2WutDw2aF3BBdcI,High,FL_23|FL_17,36,Male,"White, not of Hispanic origin",71,1,I would install temporary housing for the workers.,1,85,0,,1,1,1
R_1Cmz6CWf4EGbL5P,High,FL_23|FL_17,31,Male,Asian/ Pacific Islander,51,0,,1,18,0,,1,1,1
R_3R9yo6QPOov1mG5,High,FL_23|FL_17,37,Male,"White, not of Hispanic origin",91,0,,1,91,0,,1,1,1
R_1Cwkkg6CRgeLL4S,Low,FL_17|FL_23,30,Male,Hispanic,0,0,,1,0,0,,0,1,0
R_2YPUaNDJkfFKIPH,Low,FL_23|FL_17,46,Male,"White, not of Hispanic origin",2,1,House the equipment and workers elsewhere but nearby (if possible),1,2,1,Cut power after the summer was over.,1,1,1
R_3PzAif9KbnEupRW,Low,FL_17|FL_23,36,Male,"White, not of Hispanic origin",3,0,,1,1,1,Build the powerlines underground in any high risk areas,1,1,1
R_2ttj5EtjynvWyu2,High,FL_23|FL_17,38,Female,"White, not of Hispanic origin",56,0,,1,82,0,,1,1,1
R_zZFa53codgqeDmh,Low,FL_23|FL_17,34,Male,"White, not of Hispanic origin",4,0,,1,9,0,,1,1,1
R_2rYj7oz5HJ5CidX,High,FL_23|FL_17,25,Male,Asian/ Pacific Islander,60,0,,1,91,0,,1,1,1
R_72PkMo9chpW1FcJ,Low,FL_17|FL_23,45,Male,"White, not of Hispanic origin",6,1,Minor renovations over a period of years,1,5,1,Deforestation,1,1,1
R_1NfgGmmAZXEA4Fy,High,FL_23|FL_17,41,Female,"White, not of Hispanic origin",32,0,,1,89,1,Attempt to clean up the area near the lines so it doesn't spark fire,1,1,1
R_1IKqrbBS7n52Qet,Low,FL_17|FL_23,54,Female,"White, not of Hispanic origin",0,1,Tiny houses and RV's for the workers. ,1,0,1,Suggest generators and provide ice machines and coolers.,1,1,1
R_20V8yrXDJH5N0dr,High,FL_23|FL_17,30,Female,Black/ African American,60,1,"since it is a dam, the should draw the water out into another safe dam",1,70,0,,1,1,1
R_3ffsxSoom1ztEwe,Low,FL_17|FL_23,35,Male,"White, not of Hispanic origin",2,0,,1,1,0,,1,1,1
R_2P5U8iD7IAUKF5j,High,FL_17|FL_23,59,Female,"White, not of Hispanic origin",71,0,,1,91,1,Forest management = remove brushwood and create firebreaks.,1,1,1
R_33l5agrxmMNLpgF,High,FL_23|FL_17,30,Male,Hispanic,49,0,,1,70,0,,1,1,1
